,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_criterion,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,5.006591939926148,0.07557801731899694,1.0216382980346679,0.015772090500233715,0.005,1,8,,log_loss,"{'min_samples_split': 0.005, 'min_samples_leaf': 1, 'max_leaf_nodes': 8, 'max_depth': None, 'criterion': 'log_loss'}",0.6466880731133441,0.6442500536296185,0.6447505967359142,0.6447596022882048,0.6444122854807954,0.6449721222495753,0.0008801733867434024,5,0.644543134460749,0.645152640369381,0.6450275043797596,0.6450252527617149,0.6451120817418234,0.6449721227426854,0.00022004363461523597,0.25855871949694526,0.2566718604369882,0.25660173005942627,0.2571259710759985,0.2567278058918569,0.25713721739224304,0.0007337187839167822,1,0.2567818436504928,0.25725246470654267,0.2572697770352348,0.25713873434769363,0.2572384045667291,0.2571362448613386,0.0001829649775675481,0.7292114400845909,0.7272957699909337,0.7276961218536676,0.7276971345194948,0.7274242602570868,0.7278649453411548,0.000691067848841772,5,0.727528349529105,0.7280074659174275,0.7279074357977672,0.7279071728722213,0.7279753697118327,0.7278651587656707,0.00017285298523496737,0.7568061552599676,0.7527699596929822,0.7526401114692072,0.7535059182972472,0.7519320236286119,0.7535308336696033,0.0017121250590911331,4,0.7527120606266723,0.7537210642249055,0.7537537673477455,0.7535372466589983,0.7539306853528468,0.7535309648422337,0.0004280651337928435
1,5.925543594360351,0.10793273934006604,1.0487210273742675,0.024035613268211305,0.005,2,16,8,entropy,"{'min_samples_split': 0.005, 'min_samples_leaf': 2, 'max_leaf_nodes': 16, 'max_depth': 8, 'criterion': 'entropy'}",0.6466880731133441,0.6442500536296185,0.6447505967359142,0.6447596022882048,0.6444122854807954,0.6449721222495753,0.0008801733867434024,5,0.644543134460749,0.645152640369381,0.6450275043797596,0.6450252527617149,0.6451120817418234,0.6449721227426854,0.00022004363461523597,0.25855871949694526,0.2566718604369882,0.25660173005942627,0.2571259710759985,0.2567278058918569,0.25713721739224304,0.0007337187839167822,1,0.2567818436504928,0.25725246470654267,0.2572697770352348,0.25713873434769363,0.2572384045667291,0.2571362448613386,0.0001829649775675481,0.7292114400845909,0.7272957699909337,0.7276961218536676,0.7276971345194948,0.7274242602570868,0.7278649453411548,0.000691067848841772,5,0.727528349529105,0.7280074659174275,0.7279074357977672,0.7279071728722213,0.7279753697118327,0.7278651587656707,0.00017285298523496737,0.7765266001304205,0.7728939687134169,0.7743944714411954,0.7746414464389557,0.7733965157406352,0.7743706004929247,0.001253119651304719,2,0.7737833329541406,0.7751593431024761,0.7742510197978927,0.7745805597775441,0.7748924676366905,0.7745333446537488,0.0004827623672956227
2,4.655128479003906,0.07452604220043599,1.0217060565948486,0.016023667034029854,0.005,2,4,9,gini,"{'min_samples_split': 0.005, 'min_samples_leaf': 2, 'max_leaf_nodes': 4, 'max_depth': 9, 'criterion': 'gini'}",0.7199205941140217,0.7187049894273038,0.7179048014682597,0.7192181966766549,0.7171411059656769,0.7185779375303835,0.000974309782764257,1,0.7182422734910898,0.7185461751801703,0.7187462225105173,0.7184178738306818,0.7189371451823111,0.7185779380389541,0.00024357731990845,0.2529698114578414,0.251094652294917,0.24932494880484224,0.25192778735371496,0.24937651353598148,0.2509387426894595,0.0014263693858792186,6,0.25042971766586875,0.2508972104910188,0.2513397459864269,0.25068921070932637,0.25132820418630913,0.25093681780779,0.00035652853549692474,0.7838030351227661,0.7829016380382787,0.7822937637799502,0.7832851583354679,0.7817598407895889,0.7828086872132104,0.0007196689952926815,1,0.7825601706703317,0.7827855448587443,0.7829375163866481,0.7826896601802273,0.7830709035819232,0.782808759135575,0.00017989876559933418,0.714470676658399,0.7114004611724778,0.7107141852367334,0.7119507833743248,0.7097191018869213,0.7116510416657713,0.001594557521373824,6,0.7109455354295671,0.7117129843342713,0.7118851898229556,0.7115754131291152,0.7121332197538734,0.7116504684939565,0.00039865148804179684
3,5.995278358459473,0.07494245171951569,1.0294454097747803,0.0032388274465258967,0.005,4,16,9,entropy,"{'min_samples_split': 0.005, 'min_samples_leaf': 4, 'max_leaf_nodes': 16, 'max_depth': 9, 'criterion': 'entropy'}",0.6466880731133441,0.6442500536296185,0.6447505967359142,0.6447596022882048,0.6444122854807954,0.6449721222495753,0.0008801733867434024,5,0.644543134460749,0.645152640369381,0.6450275043797596,0.6450252527617149,0.6451120817418234,0.6449721227426854,0.00022004363461523597,0.25855871949694526,0.2566718604369882,0.25660173005942627,0.2571259710759985,0.2567278058918569,0.25713721739224304,0.0007337187839167822,1,0.2567818436504928,0.25725246470654267,0.2572697770352348,0.25713873434769363,0.2572384045667291,0.2571362448613386,0.0001829649775675481,0.7292114400845909,0.7272957699909337,0.7276961218536676,0.7276971345194948,0.7274242602570868,0.7278649453411548,0.000691067848841772,5,0.727528349529105,0.7280074659174275,0.7279074357977672,0.7279071728722213,0.7279753697118327,0.7278651587656707,0.00017285298523496737,0.7765266001304205,0.7728939687134169,0.7743944714411954,0.7746414464389557,0.7733965157406352,0.7743706004929247,0.001253119651304719,2,0.7737833329541406,0.7751593431024761,0.7742510197978927,0.7745805597775441,0.7748924676366905,0.7745333446537488,0.0004827623672956227
4,5.197729587554932,0.18548036049270364,1.0245585918426514,0.020202052995255525,0.001,1,8,10,log_loss,"{'min_samples_split': 0.001, 'min_samples_leaf': 1, 'max_leaf_nodes': 8, 'max_depth': 10, 'criterion': 'log_loss'}",0.6466880731133441,0.6442500536296185,0.6447505967359142,0.6447596022882048,0.6444122854807954,0.6449721222495753,0.0008801733867434024,5,0.644543134460749,0.645152640369381,0.6450275043797596,0.6450252527617149,0.6451120817418234,0.6449721227426854,0.00022004363461523597,0.25855871949694526,0.2566718604369882,0.25660173005942627,0.2571259710759985,0.2567278058918569,0.25713721739224304,0.0007337187839167822,1,0.2567818436504928,0.25725246470654267,0.2572697770352348,0.25713873434769363,0.2572384045667291,0.2571362448613386,0.0001829649775675481,0.7292114400845909,0.7272957699909337,0.7276961218536676,0.7276971345194948,0.7274242602570868,0.7278649453411548,0.000691067848841772,5,0.727528349529105,0.7280074659174275,0.7279074357977672,0.7279071728722213,0.7279753697118327,0.7278651587656707,0.00017285298523496737,0.7568061552599676,0.7527699596929822,0.7526401114692072,0.7535059182972472,0.7519320236286119,0.7535308336696033,0.0017121250590911331,4,0.7527120606266723,0.7537210642249055,0.7537537673477455,0.7535372466589983,0.7539306853528468,0.7535309648422337,0.0004280651337928435
5,4.9922271251678465,0.36839505487089574,1.0388259887695312,0.02234127431444587,0.005,1,4,,log_loss,"{'min_samples_split': 0.005, 'min_samples_leaf': 1, 'max_leaf_nodes': 4, 'max_depth': None, 'criterion': 'log_loss'}",0.7199205941140217,0.7187049894273038,0.7179048014682597,0.7192181966766549,0.7171411059656769,0.7185779375303835,0.000974309782764257,1,0.7182422734910898,0.7185461751801703,0.7187462225105173,0.7184178738306818,0.7189371451823111,0.7185779380389541,0.00024357731990845,0.2529698114578414,0.251094652294917,0.24932494880484224,0.25192778735371496,0.24937651353598148,0.2509387426894595,0.0014263693858792186,6,0.25042971766586875,0.2508972104910188,0.2513397459864269,0.25068921070932637,0.25132820418630913,0.25093681780779,0.00035652853549692474,0.7838030351227661,0.7829016380382787,0.7822937637799502,0.7832851583354679,0.7817598407895889,0.7828086872132104,0.0007196689952926815,1,0.7825601706703317,0.7827855448587443,0.7829375163866481,0.7826896601802273,0.7830709035819232,0.782808759135575,0.00017989876559933418,0.714470676658399,0.7114004611724778,0.7107141852367334,0.7119507833743248,0.7097191018869213,0.7116510416657713,0.001594557521373824,6,0.7109455354295671,0.7117129843342713,0.7118851898229556,0.7115754131291152,0.7121332197538734,0.7116504684939565,0.00039865148804179684
6,3.0090425491333006,0.0970239361750231,1.0242273807525635,0.025822178662305892,0.001,4,16,1,log_loss,"{'min_samples_split': 0.001, 'min_samples_leaf': 4, 'max_leaf_nodes': 16, 'max_depth': 1, 'criterion': 'log_loss'}",0.328403948501946,0.3278829750647812,0.32864570741723165,0.3282790792699537,0.3263824570961591,0.3279188334700143,0.0008068701944042441,10,0.32779755550674966,0.3279277990877842,0.3277371156750278,0.32782877325122606,0.3283029275837793,0.32791883422091345,0.0002017172352203375,0.17413041566696394,0.17332707916272294,0.17375999463600247,0.17335663192829398,0.172883793659952,0.17349158301078707,0.00042304448201844195,10,0.1733316164531559,0.17353245371979378,0.17342429564565728,0.17352504341109126,0.1736435764674341,0.17349139713942646,0.00010583831105266972,0.4142757304089546,0.41387948801809976,0.4147248100156464,0.414388964882415,0.41206841220810647,0.4138674811066445,0.0009391931374374935,10,0.41376603802503237,0.4138650942195557,0.413653633893026,0.4137376456096741,0.4143173046835409,0.4138679432861657,0.00023461648082144688,0.6034044739598585,0.6010754404426337,0.6022866502741837,0.6011460834640063,0.599894651570168,0.60156145994217,0.0011924432404571508,10,0.6011007097358051,0.6016829743613186,0.6013801693976264,0.6016653047013145,0.60197817200744,0.6015614660407008,0.00029811254499756315
7,4.390528821945191,0.17270157951550044,1.0306021213531493,0.022135412598030688,0.001,1,4,3,log_loss,"{'min_samples_split': 0.001, 'min_samples_leaf': 1, 'max_leaf_nodes': 4, 'max_depth': 3, 'criterion': 'log_loss'}",0.7199205941140217,0.7187049894273038,0.7179048014682597,0.7192181966766549,0.7171411059656769,0.7185779375303835,0.000974309782764257,1,0.7182422734910898,0.7185461751801703,0.7187462225105173,0.7184178738306818,0.7189371451823111,0.7185779380389541,0.00024357731990845,0.2529698114578414,0.251094652294917,0.24932494880484224,0.25192778735371496,0.24937651353598148,0.2509387426894595,0.0014263693858792186,6,0.25042971766586875,0.2508972104910188,0.2513397459864269,0.25068921070932637,0.25132820418630913,0.25093681780779,0.00035652853549692474,0.7838030351227661,0.7829016380382787,0.7822937637799502,0.7832851583354679,0.7817598407895889,0.7828086872132104,0.0007196689952926815,1,0.7825601706703317,0.7827855448587443,0.7829375163866481,0.7826896601802273,0.7830709035819232,0.782808759135575,0.00017989876559933418,0.714470676658399,0.7114004611724778,0.7107141852367334,0.7119507833743248,0.7097191018869213,0.7116510416657713,0.001594557521373824,6,0.7109455354295671,0.7117129843342713,0.7118851898229556,0.7115754131291152,0.7121332197538734,0.7116504684939565,0.00039865148804179684
8,5.810041236877441,0.12342158188898202,1.0257964134216309,0.015260236063534896,0.005,1,16,7,gini,"{'min_samples_split': 0.005, 'min_samples_leaf': 1, 'max_leaf_nodes': 16, 'max_depth': 7, 'criterion': 'gini'}",0.6466880731133441,0.6442500536296185,0.6447505967359142,0.6447596022882048,0.6444122854807954,0.6449721222495753,0.0008801733867434024,5,0.644543134460749,0.645152640369381,0.6450275043797596,0.6450252527617149,0.6451120817418234,0.6449721227426854,0.00022004363461523597,0.25855871949694526,0.2566718604369882,0.25660173005942627,0.2571259710759985,0.2567278058918569,0.25713721739224304,0.0007337187839167822,1,0.2567818436504928,0.25725246470654267,0.2572697770352348,0.25713873434769363,0.2572384045667291,0.2571362448613386,0.0001829649775675481,0.7292114400845909,0.7272957699909337,0.7276961218536676,0.7276971345194948,0.7274242602570868,0.7278649453411548,0.000691067848841772,5,0.727528349529105,0.7280074659174275,0.7279074357977672,0.7279071728722213,0.7279753697118327,0.7278651587656707,0.00017285298523496737,0.7775360860821284,0.7741835464765023,0.7752572769112408,0.7753582989633856,0.7736903013982791,0.7752051019663073,0.0013264897189689975,1,0.7747500954841778,0.7755882837497032,0.7753206249984643,0.7751887979160209,0.7756217162151382,0.7752939036727009,0.00031673625872566955
9,4.6391058444976805,0.058276200350166375,1.022817277908325,0.03209356425396074,0.005,2,4,5,entropy,"{'min_samples_split': 0.005, 'min_samples_leaf': 2, 'max_leaf_nodes': 4, 'max_depth': 5, 'criterion': 'entropy'}",0.7199205941140217,0.7187049894273038,0.7179048014682597,0.7192181966766549,0.7171411059656769,0.7185779375303835,0.000974309782764257,1,0.7182422734910898,0.7185461751801703,0.7187462225105173,0.7184178738306818,0.7189371451823111,0.7185779380389541,0.00024357731990845,0.2529698114578414,0.251094652294917,0.24932494880484224,0.25192778735371496,0.24937651353598148,0.2509387426894595,0.0014263693858792186,6,0.25042971766586875,0.2508972104910188,0.2513397459864269,0.25068921070932637,0.25132820418630913,0.25093681780779,0.00035652853549692474,0.7838030351227661,0.7829016380382787,0.7822937637799502,0.7832851583354679,0.7817598407895889,0.7828086872132104,0.0007196689952926815,1,0.7825601706703317,0.7827855448587443,0.7829375163866481,0.7826896601802273,0.7830709035819232,0.782808759135575,0.00017989876559933418,0.714470676658399,0.7114004611724778,0.7107141852367334,0.7119507833743248,0.7097191018869213,0.7116510416657713,0.001594557521373824,6,0.7109455354295671,0.7117129843342713,0.7118851898229556,0.7115754131291152,0.7121332197538734,0.7116504684939565,0.00039865148804179684
